port_code,port_name,city,country
NOAAA,Å i Lofoten,A i Lofoten,Norway
NOAAF,Åfjord,Afjord,Norway
NOAAN,Årdal,Ardal,Norway
NOAAV,Ålvik,Alvik,Norway
NOABE,Abelnes,Abelnes,Norway
NOABV,Abelvær,Abelvar,Norway
NOADN,Andenes,Andenes,Norway
NOADY,Andøy,Andoy,Norway
NOAES,Ålesund,Alesund,Norway
NOAFS,Anfinnsletta,Anfinnsletta,Norway
NOAFT,Agnefest,Agnefest,Norway
NOAGD,Agdenes,Agdenes,Norway
NOAGK,Ågskardet,Agskardet,Norway
NOAGO,Ågotnes,Agotnes,Norway
NOAHM,Åheim,Aheim,Norway
NOAKK,Akkarfjord,Akkarfjord,Norway
NOAKM,Åkrehamn,Akrehamn,Norway
NOALE,Ålefjær,Alefjar,Norway
NOALF,Alta,Alta,Norway
NOALS,Alstahaug,Alstahaug,Norway
NOALV,Alvika,Alvika,Norway
NOAND,Åndalsnes,Andalsnes,Norway
NOANN,Sannidal,Sannidal,Norway
NOANS,Ansnes,Ansnes,Norway
NOARD,Årdalstangen,Ardalstangen,Norway
NOARE,Arendal,Arendal,Norway
NOARF,Arnafjord,Arnafjord,Norway
NOARH,Årdal - Hjelmeland,Ardal - Hjelmeland,Norway
NOARM,Arnøyhamn,Arnoyhamn,Norway
NOASH,Austrheim,Austrheim,Norway
NOASL,Askvoll,Askvoll,Norway
NOASV,Austevoll,Austevoll,Norway
NOASY,Askøy,Askoy,Norway
NOATA,Åtangen,Atangen,Norway
NOATL,Atløy,Atloy,Norway
NOAUE,Aure,Aure,Norway
NOAUK,Aukra,Aukra,Norway
NOAUL,Aurland,Aurland,Norway
NOAUS,Austvika,Austvika,Norway
NOAVA,Avaldsnes,Avaldsnes,Norway
NOAVE,Averøy,Averoy,Norway
NOBAF,Balsfjord,Balsfjord,Norway
NOBAL,Båly,Baly,Norway
NOBAM,Bamble,Bamble,Norway
NOBAR,Bærum,Barum,Norway
NOBEJ,Beiarn,Beiarn,Norway
NOBEL,Bellvika,Bellvika,Norway
NOBER,Berg,Berg,Norway
NOBFJ,Bergsfjord,Bergsfjord,Norway
NOBGN,Bergneset,Bergneset,Norway
NOBGO,Bergen,Bergen,Norway
NOBIN,Bindal,Bindal,Norway
NOBIS,Bismo,Bismo,Norway
NOBJD,Bjordal,Bjordal,Norway
NOBJF,Båtsfjord,Batsfjord,Norway
NOBJU,Bjugn,Bjugn,Norway
NOBJX,Bjørkås,Bjorkas,Norway
NOBJY,Bjarkøy,Bjarkoy,Norway
NOBKD,Brakstad,Brakstad,Norway
NOBKS,Brekstad,Brekstad,Norway
NOBKV,Bjerkvik,Bjerkvik,Norway
NOBLK,Bleik,Bleik,Norway
NOBLL,Ballangen,Ballangen,Norway
NOBLO,Blokken,Blokken,Norway
NOBLS,Balestrand,Balestrand,Norway
NOBLV,Blomvåg,Blomvag,Norway
NOBNN,Brønnøysund,Bronnoysund,Norway
NOBOE,Bøneset - Karmøy,Boneset - Karmoy,Norway
NOBOG,Bogen,Bogen,Norway
NOBOK,Bokn,Bokn,Norway
NOBOM,Bømlo,Bomlo,Norway
NOBON,Bognes,Bognes,Norway
NOBOO,Bodø,Bodo,Norway
NOBOS,Borkenes,Borkenes,Norway
NOBOV,Bøvågen - Radøy,Bovagen - Radoy,Norway
NOBRE,Bremanger,Bremanger,Norway
NOBRH,Brensholmen,Brensholmen,Norway
NOBRN,Brandasund,Brandasund,Norway
NOBRO,Brønnøy,Bronnoy,Norway
NOBRR,Borre,Borre,Norway
NOBRV,Brattvåg,Brattvag,Norway
NOBSD,Ballstad,Ballstad,Norway
NOBSF,Brandsfjord,Brandsfjord,Norway
NOBTH,Botnhamn,Botnhamn,Norway
NOBTN,Botnaneset - Flora,Botnaneset - Flora,Norway
NOBTS,Brettesnes,Brettesnes,Norway
NOBUF,Burfjord,Burfjord,Norway
NOBUG,Bugøynes,Bugoynes,Norway
NOBUV,Buvika,Buvika,Norway
NOBVB,Breivikbotn,Breivikbotn,Norway
NOBVG,Berlevåg,Berlevag,Norway
NOBVK,Brevik,Brevik,Norway
NOBVR,Breiviga,Breiviga,Norway
NOBYN,Byggnes - Karmøy,Byggnes - Karmoy,Norway
NOBYR,Byrknesøy,Byrknesoy,Norway
NOBYS,Bygstad,Bygstad,Norway
NODBY,Nordby,Nordby,Norway
NODDY,Espenesbogen,Espenesbogen,Norway
NODER,Sperrebotn,Sperrebotn,Norway
NODFJ,Dåfjord,Dafjord,Norway
NODIM,Dimmelsvik,Dimmelsvik,Norway
NODIR,Dirdal,Dirdal,Norway
NODJU,Djupvik,Djupvik,Norway
NODOL,Dolmøy,Dolmoy,Norway
NODON,Dønna,Donna,Norway
NODRG,Drag,Drag,Norway
NODRK,Drøbak,Drobak,Norway
NODRM,Drammen,Drammen,Norway
NODSF,Dale,Dale,Norway
NODSN,Nannestad,Nannestad,Norway
NODUS,Dusavik,Dusavik,Norway
NODYD,Dyrstad,Dyrstad,Norway
NODYL,Dyrøyhamn,Dyroyhamn,Norway
NODYR,Dyrvik,Dyrvik,Norway
NODYY,Dyrøy,Dyroy,Norway
NOEDD,Eidsdal,Eidsdal,Norway
NOEDE,Eide,Eide,Norway
NOEDF,Eidfjord,Eidfjord,Norway
NOEDS,Eide Sotra,Eide Sotra,Norway
NOEDT,Eidet,Eidet,Norway
NOEGD,Eigersund,Eigersund,Norway
NOEGE,Egersund,Egersund,Norway
NOEGG,Eggesbønes,Eggesbones,Norway
NOEID,Eid,Eid,Norway
NOEIF,Eidangerfjorden,Eidangerfjorden,Norway
NOEIK,Eikefjord,Eikefjord,Norway
NOEIL,Eidslandet,Eidslandet,Norway
NOEKF,Eikefet,Eikefet,Norway
NOELL,Ellingsøy,Ellingsoy,Norway
NOELN,Elnesvågen,Elnesvagen,Norway
NOELO,Eikelandsosen,Eikelandsosen,Norway
NOENG,Engene,Engene,Norway
NOERF,Erfjord - Suldal,Erfjord - Suldal,Norway
